Rank,Term,Frequency,Type
1451,propagation,34,word
1452,initially,34,word
1453,centralized,34,word
1454,sensitive,34,word
1455,mother,34,word
1456,arbitrary,34,word
1457,reason,34,word
1458,might,34,word
1459,multiproduct,34,word
1460,universe,34,word
1461,equivalence,34,word
1462,offered,34,word
1463,tie,34,word
1464,displacement,34,word
1465,understand,34,word
1466,stabilization,34,word
1467,habit,34,word
1468,predicted,34,word
1469,turnout,34,word
1470,direction,34,word
1471,validity,34,word
1472,proposed,34,word
1473,functional,34,word
1474,prescription,34,word
1475,phillip,34,word
1476,partner,34,word
1477,temperature,34,word
1478,laboratory,34,word
1479,mistake,34,word
1480,logit,34,word
1481,guidance,33,word
1482,required,33,word
1483,arrival,33,word
1484,another,33,word
1485,punishment,33,word
1486,comparing,33,word
1487,next,33,word
1488,canonical,33,word
1489,live,33,word
1490,migrant,33,word
1491,disadvantaged,33,word
1492,expert,33,word
1493,fragility,33,word
1494,away,33,word
1495,surprise,33,word
1496,lifetime,33,word
1497,impose,33,word
1498,uncertain,33,word
1499,recover,33,word
1500,threat,33,word
1501,policymaker,33,word
1502,distinct,33,word
1503,sign,33,word
1504,inconsistent,33,word
1505,partly,33,word
1506,shaped,33,word
1507,downstream,33,word
1508,interact,33,word
1509,mixture,33,word
1510,preschool,33,word
1511,flexibility,33,word
1512,responsible,33,word
1513,horizon,33,word
1514,receipt,33,word
1515,text,33,word
1516,pension,33,word
1517,insurer,33,word
1518,chinese,33,word
1519,analyse,33,word
1520,decentralized,33,word
1521,regulatory,33,word
1522,monotonicity,33,word
1523,executive,33,word
1524,label,33,word
1525,repayment,33,word
1526,converge,32,word
1527,defined,32,word
1528,involving,32,word
1529,shared,32,word
1530,wedge,32,word
1531,graph,32,word
1532,prefer,32,word
1533,answer,32,word
1534,possibility,32,word
1535,proof,32,word
1536,exercise,32,word
1537,kind,32,word
1538,gross,32,word
1539,applying,32,word
1540,missing,32,word
1541,slow,32,word
1542,recursive,32,word
1543,comprehensive,32,word
1544,eligibility,32,word
1545,largely,32,word
1546,strength,32,word
1547,responsibility,32,word
1548,limiting,32,word
1549,trait,32,word
1550,economically,32,word
1551,independence,32,word
1552,revelation,32,word
1553,noisy,32,word
1554,decomposition,32,word
1555,differentiation,32,word
1556,cumulative,32,word
1557,differentiated,32,word
1558,leveraging,32,word
1559,divorce,32,word
1560,assortative,32,word
1561,latter,32,word
1562,hierarchy,32,word
1563,internet,32,word
1564,promotion,32,word
1565,arbitration,32,word
1566,amplification,32,word
1567,observational,32,word
1568,mpc,32,word
1569,amenity,32,word
1570,anti,31,word
1571,median,31,word
1572,decide,31,word
1573,person,31,word
1574,schedule,31,word
1575,mandate,31,word
1576,commit,31,word
1577,alone,31,word
1578,altruism,31,word
1579,burden,31,word
1580,realized,31,word
1581,taxpayer,31,word
1582,commodity,31,word
1583,called,31,word
1584,fulfilling,31,word
1585,earlier,31,word
1586,subset,31,word
1587,review,31,word
1588,root,31,word
1589,still,31,word
1590,center,31,word
1591,mobile,31,word
1592,designer,31,word
1593,monopolistic,31,word
1594,specialization,31,word
1595,able,31,word
1596,unemployed,31,word
1597,endowment,31,word
1598,maximizing,31,word
1599,minimax,31,word
1600,bad,30,word
1601,dilemma,30,word
1602,declining,30,word
1603,increasingly,30,word
1604,responsiveness,30,word
1605,deadline,30,word
1606,reach,30,word
1607,regulator,30,word
1608,persist,30,word
1609,actual,30,word
1610,language,30,word
1611,steady,30,word
1612,raising,30,word
1613,log,30,word
1614,infinite,30,word
1615,road,30,word
1616,refinancing,30,word
1617,counter,30,word
1618,recall,30,word
1619,roughly,30,word
1620,south,30,word
1621,symmetric,30,word
1622,axiom,30,word
1623,mass,30,word
1624,informativeness,30,word
1625,covariance,30,word
1626,complement,30,word
1627,bandit,30,word
1628,meet,30,word
1629,sweden,30,word
1630,court,30,word
1631,notion,30,word
1632,recipient,30,word
1633,secondary,30,word
1634,reference,30,word
1635,residential,30,word
1636,taken,29,word
1637,modest,29,word
1638,experimentally,29,word
1639,cutoff,29,word
1640,regardless,29,word
1641,list,29,word
1642,highest,29,word
1643,compete,29,word
1644,corporation,29,word
1645,compatibility,29,word
1646,facility,29,word
1647,paying,29,word
1648,regarding,29,word
1649,personal,29,word
1650,reported,29,word
1651,separate,29,word
1652,predictive,29,word
1653,linkage,29,word
1654,waiting,29,word
1655,competitor,29,word
1656,narrow,29,word
1657,calibration,29,word
1658,crowd,29,word
1659,rationalize,29,word
1660,exporter,29,word
1661,macroprudential,29,word
1662,consolidation,29,word
1663,allocative,29,word
1664,french,29,word
1665,adjust,29,word
1666,vehicle,29,word
1667,informality,29,word
1668,planner,28,word
1669,display,28,word
1670,france,28,word
1671,eliminate,28,word
1672,reservation,28,word
1673,reward,28,word
1674,owned,28,word
1675,popular,28,word
1676,microdata,28,word
1677,valuable,28,word
1678,covering,28,word
1679,presidential,28,word
1680,themselve,28,word
1681,heteroskedasticity,28,word
1682,equality,28,word
1683,deep,28,word
1684,widespread,28,word
1685,foreclosure,28,word
1686,replicate,28,word
1687,gmm,28,word
1688,optimally,28,word
1689,consequently,28,word
1690,matrix,28,word
1691,course,28,word
1692,organized,28,word
1693,born,28,word
1694,accountability,28,word
1695,temporal,28,word
1696,spend,28,word
1697,motivate,28,word
1698,reversal,28,word
1699,award,28,word
1700,sexual,28,word
1701,covid,28,word
1702,describe,27,word
1703,draw,27,word
1704,attack,27,word
1705,lab,27,word
1706,dominate,27,word
1707,invest,27,word
1708,colombia,27,word
1709,expensive,27,word
1710,voucher,27,word
1711,redistributive,27,word
1712,committee,27,word
1713,positively,27,word
1714,chosen,27,word
1715,weather,27,word
1716,immediate,27,word
1717,reasoning,27,word
1718,satisfaction,27,word
1719,debate,27,word
1720,easing,27,word
1721,active,27,word
1722,crop,27,word
1723,covariate,27,word
1724,emergence,27,word
1725,produced,27,word
1726,track,27,word
1727,frequently,27,word
1728,systematically,27,word
1729,sell,27,word
1730,voluntary,27,word
1731,official,27,word
1732,balanced,27,word
1733,horizontal,27,word
1734,layoff,27,word
1735,stereotype,27,word
1736,progressivity,27,word
1737,maximize,26,word
1738,reporting,26,word
1739,acquire,26,word
1740,identical,26,word
1741,seeking,26,word
1742,gradually,26,word
1743,engage,26,word
1744,economist,26,word
1745,progress,26,word
1746,adopt,26,word
1747,survival,26,word
1748,fine,26,word
1749,sense,26,word
1750,serve,26,word
1751,domain,26,word
1752,unintended,26,word
1753,explaining,26,word
1754,misperception,26,word
1755,jointly,26,word
1756,consensus,26,word
1757,raised,26,word
1758,scope,26,word
1759,original,26,word
1760,derived,26,word
1761,square,26,word
1762,final,26,word
1763,scoring,26,word
1764,aspect,26,word
1765,mostly,26,word
1766,respectively,26,word
1767,tradable,26,word
1768,discipline,26,word
1769,girl,26,word
1770,extended,26,word
1771,buy,26,word
1772,armed,26,word
1773,goal,26,word
1774,department,26,word
1775,producer,26,word
1776,adjusted,26,word
1777,organizational,26,word
1778,proofness,26,word
1779,bunching,26,word
1780,math,26,word
1781,synthetic,26,word
1782,exploration,26,word
1783,misspecified,26,word
1784,refugee,26,word
1785,story,25,word
1786,african,25,word
1787,publicly,25,word
1788,gas,25,word
1789,decreasing,25,word
1790,uninformed,25,word
1791,sudden,25,word
1792,educated,25,word
1793,compatible,25,word
1794,motivation,25,word
1795,journal,25,word
1796,destruction,25,word
1797,updating,25,word
1798,maximiz,25,word
1799,enhance,25,word
1800,worth,25,word
1801,store,25,word
1802,prevent,25,word
1803,prevalence,25,word
1804,proxy,25,word
1805,receiving,25,word
1806,advance,25,word
1807,elicitation,25,word
1808,classic,25,word
1809,played,25,word
1810,pecuniary,25,word
1811,bundling,25,word
1812,slope,25,word
1813,situation,25,word
1814,wave,25,word
1815,remaining,25,word
1816,heuristic,25,word
1817,granular,25,word
1818,genetic,25,word
1819,america,25,word
1820,lesson,25,word
1821,fuel,25,word
1822,physical,25,word
1823,stake,25,word
1824,boy,25,word
1825,unified,25,word
1826,bundle,25,word
1827,similarity,25,word
1828,sentiment,25,word
1829,adolescent,25,word
1830,plausible,24,word
1831,assume,24,word
1832,medium,24,word
1833,willing,24,word
1834,scientific,24,word
1835,russia,24,word
1836,switch,24,word
1837,opposite,24,word
1838,successful,24,word
1839,commuting,24,word
1840,broadly,24,word
1841,continuum,24,word
1842,falling,24,word
1843,announcement,24,word
1844,giving,24,word
1845,selling,24,word
1846,upper,24,word
1847,implying,24,word
1848,exceed,24,word
1849,screen,24,word
1850,bottom,24,word
1851,connected,24,word
1852,null,24,word
1853,weighting,24,word
1854,indonesia,24,word
1855,foster,24,word
1856,allocate,24,word
1857,realization,24,word
1858,incidence,24,word
1859,implied,24,word
1860,boundary,24,word
1861,user,24,word
1862,quo,24,word
1863,lasting,24,word
1864,broader,24,word
1865,created,24,word
1866,travel,24,word
1867,inheritance,24,word
1868,recidivism,24,word
1869,prison,24,word
1870,california,24,word
1871,programming,24,word
1872,item,24,word
1873,coworker,24,word
1874,signalling,24,word
1875,permanent,24,word
1876,cognition,24,word
1877,inventor,24,word
1878,far,24,word
1879,ban,24,word
1880,respondent,24,word
1881,rationing,24,word
1882,dual,24,word
1883,luca,24,word
1884,slum,24,word
1885,renewable,24,word
1886,pairwise,23,word
1887,moderate,23,word
1888,consistently,23,word
1889,sustained,23,word
1890,kenya,23,word
1891,attendance,23,word
1892,break,23,word
1893,office,23,word
1894,incorporating,23,word
1895,lowering,23,word
1896,collapse,23,word
1897,dispersed,23,word
1898,continue,23,word
1899,recruitment,23,word
1900,multidimensional,23,word
1901,encourage,23,word
1902,bureaucrat,23,word
1903,deterrence,23,word
1904,shifting,23,word
1905,designing,23,word
1906,inventory,23,word
1907,wealthy,23,word
1908,winning,23,word
1909,computation,23,word
1910,found,23,word
1911,normality,23,word
1912,throughout,23,word
1913,complementary,23,word
1914,antitrust,23,word
1915,structurally,23,word
1916,held,23,word
1917,relation,23,word
1918,conservative,23,word
1919,head,23,word
1920,adulthood,23,word
1921,universal,23,word
1922,naive,23,word
1923,salient,23,word
1924,indivisible,23,word
1925,parity,23,word
1926,autoregression,23,word
1927,systemic,23,word
1928,mafia,23,word
1929,personalized,23,word
1930,bangladesh,23,word
1931,prejudice,23,word
1932,distant,22,word
1933,argument,22,word
1934,extraction,22,word
1935,york,22,word
1936,followed,22,word
1937,strict,22,word
1938,observing,22,word
1939,uncover,22,word
1940,quantifying,22,word
1941,obtained,22,word
1942,practical,22,word
1943,manufacturer,22,word
1944,simultaneously,22,word
1945,specifically,22,word
1946,specify,22,word
1947,epidemic,22,word
1948,rental,22,word
1949,element,22,word
1950,resident,22,word
1951,electrification,22,word
1952,harm,22,word
1953,allocated,22,word
1954,rationalizability,22,word
1955,daughter,22,word
1956,computational,22,word
1957,coal,22,word
1958,pool,22,word
1959,asymptotically,22,word
1960,overlapping,22,word
1961,effectively,22,word
1962,beneficial,22,word
1963,globally,22,word
1964,imitation,22,word
1965,professional,22,word
1966,tournament,22,word
1967,disruption,22,word
1968,appeal,22,word
1969,linking,22,word
1970,investing,22,word
1971,quarter,22,word
1972,father,22,word
1973,dividend,22,word
1974,hot,22,word
1975,enterprise,22,word
1976,confirm,22,word
1977,upon,22,word
1978,discriminatory,22,word
1979,approval,22,word
1980,sieve,22,word
1981,contain,22,word
1982,microcredit,22,word
1983,traffic,22,word
1984,opioid,22,word
1985,harassment,22,word
1986,represent,21,word
1987,clinical,21,word
1988,eliminating,21,word
1989,sharply,21,word
1990,charge,21,word
1991,earn,21,word
1992,looking,21,word
1993,negatively,21,word
1994,volume,21,word
1995,concession,21,word
1996,special,21,word
1997,constructed,21,word
1998,scarce,21,word
1999,emerging,21,word
2000,boston,21,word
2001,relate,21,word
2002,determining,21,word
2003,separable,21,word
2004,near,21,word
2005,affecting,21,word
2006,neighbor,21,word
2007,dramatically,21,word
2008,married,21,word
2009,received,21,word
2010,predictability,21,word
2011,reconcile,21,word
2012,behind,21,word
2013,lost,21,word
2014,possibly,21,word
2015,paradox,21,word
2016,richer,21,word
2017,fed,21,word
2018,metric,21,word
2019,sampling,21,word
2020,divergence,21,word
2021,quadratic,21,word
2022,accommodate,21,word
2023,comparable,21,word
2024,roy,21,word
2025,historically,21,word
2026,norway,21,word
2027,minimal,21,word
2028,intellectual,21,word
2029,determination,21,word
2030,exact,21,word
2031,documented,21,word
2032,municipality,21,word
2033,closed,21,word
2034,cap,21,word
2035,interdependent,21,word
2036,compute,21,word
2037,corresponding,21,word
2038,relevance,21,word
2039,profitability,21,word
2040,testable,21,word
2041,offshore,21,word
2042,choosing,21,word
2043,meaningful,21,word
2044,essential,21,word
2045,primitive,21,word
2046,promise,21,word
2047,boost,21,word
2048,twentieth,21,word
2049,background,21,word
2050,emergency,21,word
2051,ambiguous,21,word
2052,availability,21,word
2053,evasion,21,word
2054,scientist,21,word
2055,posting,21,word
2056,elderly,21,word
2057,useful,21,word
2058,distort,21,word
2059,pseudo,21,word
2060,retention,21,word
2061,southern,21,word
2062,modeling,21,word
2063,embedded,21,word
2064,crossing,21,word
2065,tracking,21,word
2066,interference,21,word
2067,neighbourhood,21,word
2068,prisoner,20,word
2069,weakly,20,word
2070,exponential,20,word
2071,phase,20,word
2072,became,20,word
2073,sequentially,20,word
2074,eventually,20,word
2075,controlling,20,word
2076,rest,20,word
2077,earner,20,word
2078,stimulate,20,word
2079,populist,20,word
2080,alleviate,20,word
2081,collected,20,word
2082,acceptance,20,word
2083,analyzing,20,word
2084,expression,20,word
2085,ideological,20,word
2086,zone,20,word
2087,discriminate,20,word
2088,additionally,20,word
2089,losing,20,word
2090,attract,20,word
2091,prosocial,20,word
2092,credibility,20,word
2093,tenure,20,word
2094,revisit,20,word
2095,railroad,20,word
2096,psychological,20,word
2097,ceo,20,word
2098,predictor,20,word
2099,overcome,20,word
2100,downward,20,word
2101,radio,20,word
2102,smoothing,20,word
2103,statistically,20,word
2104,compensating,20,word
2105,interpret,20,word
2106,evaluating,20,word
2107,proportion,20,word
2108,uniformly,20,word
2109,restrict,20,word
2110,exactly,20,word
2111,epsilon,20,word
2112,difficult,20,word
2113,conducted,20,word
2114,adopted,20,word
2115,club,20,word
2116,lease,20,word
2117,changed,20,word
2118,sometime,20,word
2119,difficulty,20,word
2120,ride,20,word
2121,exclusive,20,word
2122,green,20,word
2123,sanction,20,word
2124,unequal,20,word
2125,stylized,20,word
2126,hiv,20,word
2127,removing,20,word
2128,recently,20,word
2129,assimilation,20,word
2130,employ,20,word
2131,derivative,20,word
2132,featuring,20,word
2133,distinguish,20,word
2134,decreased,20,word
2135,registration,20,word
2136,smooth,20,word
2137,mutual,20,word
2138,crowding,20,word
2139,save,20,word
2140,pandemic,20,word
2141,nested,20,word
2142,drawn,19,word
2143,circumstance,19,word
2144,computer,19,word
2145,never,19,word
2146,episode,19,word
2147,weaker,19,word
2148,expanding,19,word
2149,negligible,19,word
2150,religion,19,word
2151,date,19,word
2152,binding,19,word
2153,assumed,19,word
2154,shifted,19,word
2155,donation,19,word
2156,participate,19,word
2157,nutrition,19,word
2158,equally,19,word
2159,unobservable,19,word
2160,creditor,19,word
2161,quota,19,word
2162,refinement,19,word
2163,update,19,word
2164,brand,19,word
2165,legislative,19,word
2166,army,19,word
2167,week,19,word
2168,desirable,19,word
2169,necessarily,19,word
2170,lasso,19,word
2171,explicit,19,word
2172,supermodular,19,word
2173,entire,19,word
2174,established,19,word
2175,scenario,19,word
2176,length,19,word
2177,shown,19,word
2178,classical,19,word
2179,deal,19,word
2180,going,19,word
2181,intergroup,19,word
2182,bequest,19,word
2183,lie,19,word
2184,apprenticeship,19,word
2185,upstream,19,word
2186,category,19,word
2187,priz,19,word
2188,exacerbate,19,word
2189,fast,19,word
2190,prominent,19,word
2191,heavily,19,word
2192,neither,19,word
2193,seeker,19,word
2194,advice,19,word
2195,check,19,word
2196,technique,19,word
2197,ensure,19,word
2198,sibling,19,word
2199,removal,19,word
2200,newspaper,19,word
2201,sparse,19,word
2202,analytical,19,word
2203,efficacy,19,word
2204,recognition,19,word
2205,digit,19,word
2206,passive,18,word
2207,simulated,18,word
2208,keep,18,word
2209,extract,18,word
2210,declined,18,word
2211,attempt,18,word
2212,arising,18,word
2213,unrelated,18,word
2214,monitor,18,word
2215,partisan,18,word
2216,factory,18,word
2217,resort,18,word
2218,suffer,18,word
2219,chance,18,word
2220,excessive,18,word
2221,longitudinal,18,word
2222,ideology,18,word
2223,incentivized,18,word
2224,transplant,18,word
2225,locally,18,word
2226,therapy,18,word
2227,jump,18,word
2228,elicit,18,word
2229,sort,18,word
2230,departure,18,word
2231,bureaucracy,18,word
2232,whenever,18,word
2233,rationale,18,word
2234,extending,18,word
2235,treat,18,word
2236,regulating,18,word
2237,administration,18,word
2238,depending,18,word
2239,define,18,word
2240,distress,18,word
2241,happiness,18,word
2242,ending,18,word
2243,microenterprise,18,word
2244,represented,18,word
2245,monte,18,word
2246,carlo,18,word
2247,seek,18,word
2248,former,18,word
2249,ranked,18,word
2250,correction,18,word
2251,responsive,18,word
2252,north,18,word
2253,percentile,18,word
2254,neglect,18,word
2255,revealing,18,word
2256,think,18,word
2257,trigger,18,word
2258,visit,18,word
2259,six,18,word
2260,reciprocity,18,word
2261,round,18,word
2262,disproportionately,18,word
2263,completion,18,word
2264,comovement,18,word
2265,wait,18,word
2266,automatic,18,word
2267,conclude,18,word
2268,gift,18,word
2269,contraction,18,word
2270,reject,18,word
2271,substitutability,18,word
2272,enhancing,18,word
2273,replacement,18,word
2274,metaanalysis,18,word
2275,municipal,18,word
2276,accept,18,word
2277,colonial,18,word
2278,whereby,18,word
2279,amazon,18,word
2280,monthly,18,word
2281,reminder,18,word
2282,capita,18,word
2283,detecting,18,word
2284,seed,18,word
2285,criteria,18,word
2286,visual,18,word
2287,neural,18,word
2288,focused,18,word
2289,disorder,18,word
2290,automobile,18,word
2291,monopolist,18,word
2292,precision,17,word
2293,sub,17,word
2294,faced,17,word
2295,nineteenth,17,word
2296,mobilization,17,word
2297,deferred,17,word
2298,accurate,17,word
2299,sugar,17,word
2300,delivery,17,word
2301,maternal,17,word
2302,pakistan,17,word
2303,greatly,17,word
2304,mismatch,17,word
2305,overreaction,17,word
2306,revision,17,word
2307,reaction,17,word
2308,slightly,17,word
2309,achieved,17,word
2310,swedish,17,word
2311,considering,17,word
2312,criterion,17,word
2313,sold,17,word
2314,duty,17,word
2315,maintain,17,word
2316,impatience,17,word
2317,explicitly,17,word
2318,blood,17,word
2319,name,17,word
2320,operator,17,word
2321,studied,17,word
2322,homogeneous,17,word
2323,pharmaceutical,17,word
2324,desired,17,word
2325,maxmin,17,word
2326,definition,17,word
2327,coordinated,17,word
2328,realistic,17,word
2329,frictional,17,word
2330,carry,17,word
2331,accounted,17,word
2332,agenda,17,word
2333,custom,17,word
2334,affordable,17,word
2335,restricted,17,word
2336,planning,17,word
2337,spent,17,word
2338,see,17,word
2339,conviction,17,word
2340,leisure,17,word
2341,introduced,17,word
2342,inducing,17,word
2343,protocol,17,word
2344,illegal,17,word
2345,healthcare,17,word
2346,optimum,17,word
2347,isolate,17,word
2348,solely,17,word
2349,staggered,17,word
2350,estate,17,word
2351,centrality,17,word
2352,len,17,word
2353,stay,17,word
2354,assistance,17,word
2355,unconfoundedness,17,word
2356,supported,17,word
2357,want,17,word
2358,dynamically,17,word
2359,gentrification,17,word
2360,rebate,17,word
2361,populism,17,word
2362,misconduct,17,word
2363,immunization,17,word
2364,analyz,16,word
2365,artificial,16,word
2366,frequent,16,word
2367,actually,16,word
2368,marketing,16,word
2369,achieving,16,word
2370,aged,16,word
2371,starting,16,word
2372,add,16,word
2373,material,16,word
2374,borrow,16,word
2375,unlikely,16,word
2376,paired,16,word
2377,diverse,16,word
2378,wisdom,16,word
2379,inside,16,word
2380,rct,16,word
2381,underestimate,16,word
2382,release,16,word
2383,ramsey,16,word
2384,device,16,word
2385,arrangement,16,word
2386,selecting,16,word
2387,disappointment,16,word
2388,cancer,16,word
2389,assign,16,word
2390,absent,16,word
2391,deception,16,word
2392,collect,16,word
2393,facebook,16,word
2394,groundwater,16,word
2395,scarcity,16,word
2396,regularity,16,word
2397,dealer,16,word
2398,unrestricted,16,word
2399,arrow,16,word
2400,drought,16,word
2401,generic,16,word
2402,expect,16,word
2403,traded,16,word
2404,predominantly,16,word
2405,pronounced,16,word
2406,legacy,16,word
2407,clear,16,word
2408,profitable,16,word
2409,contrary,16,word
2410,progressive,16,word
2411,pharmacy,16,word
2412,wholesale,16,word
2413,challenging,16,word
2414,hedging,16,word
2415,believe,16,word
2416,highlighting,16,word
2417,determinacy,16,word
2418,mix,16,word
2419,qualitative,16,word
2420,robustly,16,word
2421,enter,16,word
2422,put,16,word
2423,adversarial,16,word
2424,validate,16,word
2425,scaling,16,word
2426,fair,16,word
2427,depress,16,word
2428,mind,16,word
2429,expansionary,16,word
2430,policing,16,word
2431,restaurant,16,word
2432,covered,16,word
2433,inefficiently,16,word
2434,fell,16,word
2435,database,16,word
2436,vanish,16,word
2437,traditionally,16,word
2438,incumbency,16,word
2439,disadvantage,16,word
2440,intangible,16,word
2441,naturally,16,word
2442,outlet,16,word
2443,tell,16,word
2444,invariant,16,word
2445,lumpy,16,word
2446,caste,16,word
2447,nonneutrality,16,word
2448,auto,16,word
2449,zlb,16,word
2450,utilitarian,16,word
2451,fraud,16,word
2452,era,16,word
2453,rose,16,word
2454,spell,16,word
2455,solar,16,word
2456,arbitrator,16,word
2457,deforestation,16,word
2458,abortion,16,word
2459,typical,15,word
2460,ethnicity,15,word
2461,anatomy,15,word
2462,urbanization,15,word
2463,subsidized,15,word
2464,cascade,15,word
2465,mouth,15,word
2466,generalization,15,word
2467,rationaliz,15,word
2468,relying,15,word
2469,expectancy,15,word
2470,destination,15,word
2471,abatement,15,word
2472,emotional,15,word
2473,considered,15,word
2474,instability,15,word
2475,depreciation,15,word
2476,incentivize,15,word
2477,western,15,word
2478,congress,15,word
2479,east,15,word
2480,west,15,word
2481,star,15,word
2482,securitization,15,word
2483,processing,15,word
2484,nationwide,15,word
2485,empowerment,15,word
2486,efficiently,15,word
2487,patronage,15,word
2488,mainly,15,word
2489,differently,15,word
2490,calculate,15,word
2491,disaggregated,15,word
2492,segment,15,word
2493,nevertheless,15,word
2494,unconstrained,15,word
2495,benefited,15,word
2496,lobbying,15,word
2497,envelope,15,word
2498,valence,15,word
2499,patience,15,word
2500,inattentive,15,word
2501,unlike,15,word
2502,allowed,15,word
2503,detect,15,word
2504,severity,15,word
2505,autoregressive,15,word
2506,orthogonal,15,word
2507,bridge,15,word
2508,enabling,15,word
2509,resulted,15,word
2510,arbitrarily,15,word
2511,operate,15,word
2512,menus,15,word
2513,happen,15,word
2514,italian,15,word
2515,numerical,15,word
2516,neutrality,15,word
2517,relax,15,word
2518,degroot,15,word
2519,rival,15,word
2520,flight,15,word
2521,meeting,15,word
2522,affiliation,15,word
2523,muslim,15,word
2524,considerable,15,word
2525,shaping,15,word
2526,worked,15,word
2527,licensing,15,word
2528,congo,15,word
2529,spouse,15,word
2530,elementary,15,word
2531,temptation,15,word
2532,producing,15,word
2533,lived,15,word
2534,precise,15,word
2535,promote,15,word
2536,voice,15,word
2537,town,15,word
2538,leakage,15,word
2539,unchanged,15,word
2540,maintenance,15,word
2541,nursing,15,word
2542,predictable,15,word
2543,opt,15,word
2544,legislation,15,word
2545,liquid,15,word
2546,bail,15,word
2547,backed,15,word
2548,lose,15,word
2549,guide,15,word
2550,surge,15,word
2551,clustering,15,word
2552,clustered,15,word
2553,marketplace,15,word
2554,stopping,15,word
2555,tree,15,word
2556,assigning,15,word
2557,uncovered,15,word
2558,merchant,15,word
2559,financed,15,word
2560,chile,15,word
2561,sleep,15,word
2562,anomaly,15,word
2563,remained,15,word
2564,skin,15,word
2565,pretrial,15,word
2566,poisson,15,word
2567,cooperative,15,word
2568,referral,15,word
2569,kin,15,word
2570,formalize,14,word
2571,absolute,14,word
2572,algorithmic,14,word
2573,introducing,14,word
2574,suggestive,14,word
2575,paradigm,14,word
2576,qualitatively,14,word
2577,partnership,14,word
2578,powerful,14,word
2579,quickly,14,word
2580,arrive,14,word
2581,financially,14,word
2582,translate,14,word
2583,closer,14,word
2584,treasury,14,word
2585,managed,14,word
2586,hired,14,word
2587,resolve,14,word
2588,exert,14,word
2589,site,14,word
2590,reflecting,14,word
2591,mild,14,word
2592,multiplicity,14,word
2593,danish,14,word
2594,payout,14,word
2595,delayed,14,word
2596,politically,14,word
2597,easily,14,word
2598,reverse,14,word
2599,mitigating,14,word
2600,optimism,14,word
2601,strictly,14,word
2602,computing,14,word
2603,easy,14,word
2604,pivotal,14,word
2605,duality,14,word
2606,shipping,14,word
2607,understood,14,word
2608,enhanced,14,word
2609,descriptive,14,word
2610,neoclassical,14,word
2611,usual,14,word
2612,involved,14,word
2613,siz,14,word
2614,keeping,14,word
2615,phenomenon,14,word
2616,count,14,word
2617,chicago,14,word
2618,verify,14,word
2619,ultimately,14,word
2620,validation,14,word
2621,branch,14,word
2622,discourage,14,word
2623,dominated,14,word
2624,stated,14,word
2625,commercial,14,word
2626,mover,14,word
2627,residual,14,word
2628,performing,14,word
2629,upgrading,14,word
2630,vat,14,word
2631,twice,14,word
2632,closely,14,word
2633,distorted,14,word
2634,openness,14,word
2635,graduate,14,word
2636,indicating,14,word
2637,dialysis,14,word
2638,medicine,14,word
2639,mid,14,word
2640,shrink,14,word
2641,tested,14,word
2642,correctly,14,word
2643,innovative,14,word
2644,earned,14,word
2645,cent,14,word
2646,distortionary,14,word
2647,operation,14,word
2648,similarly,14,word
2649,motor,14,word
2650,thought,14,word
2651,color,14,word
2652,opening,14,word
2653,already,14,word
2654,var,14,word
2655,interview,14,word
2656,peak,14,word
2657,slavery,14,word
2658,chapter,14,word
2659,reputational,14,word
2660,fake,14,word
2661,tendency,14,word
2662,extra,14,word
2663,stratification,14,word
2664,massachusett,14,word
2665,creating,14,word
2666,symmetry,14,word
2667,blackwell,14,word
2668,importantly,14,word
2669,infer,14,word
2670,simplicity,14,word
2671,indirectly,14,word
2672,ruler,14,word
2673,solving,14,word
2674,microstructure,14,word
2675,beneficiary,14,word
2676,synergy,14,word
2677,client,14,word
2678,shorter,14,word
2679,autonomy,14,word
2680,extortion,14,word
2681,diversion,14,word
2682,esteem,14,word
2683,hypothetical,14,word
2684,tion,14,word
2685,decompose,14,word
2686,ssi,14,word
2687,particulate,14,word
2688,evaluator,14,word
2689,surrogate,14,word
2690,myopia,13,word
2691,capturing,13,word
2692,entrepreneurial,13,word
2693,operating,13,word
2694,getting,13,word
2695,gradual,13,word
2696,negotiate,13,word
2697,saharan,13,word
2698,parsimonious,13,word
2699,failed,13,word
2700,supporting,13,word
2701,graduation,13,word
2702,cover,13,word
2703,grid,13,word
2704,psychosocial,13,word
2705,rapid,13,word
2706,lecture,13,word
2707,captured,13,word
2708,russian,13,word
2709,engaged,13,word
2710,imposed,13,word
2711,embed,13,word
2712,utilization,13,word
2713,son,13,word
2714,thing,13,word
2715,normative,13,word
2716,goe,13,word
2717,deadweight,13,word
2718,displaced,13,word
2719,occurred,13,word
2720,relief,13,word
2721,seat,13,word
2722,ground,13,word
2723,opponent,13,word
2724,instance,13,word
2725,proportional,13,word
2726,aggregated,13,word
2727,computationally,13,word
2728,admit,13,word
2729,completely,13,word
2730,subgame,13,word
2731,deviate,13,word
2732,assuming,13,word
2733,imposing,13,word
2734,simpler,13,word
2735,settlement,13,word
2736,dampen,13,word
2737,accumulate,13,word
2738,weaken,13,word
2739,randomness,13,word
2740,generically,13,word
2741,entirely,13,word
2742,fragile,13,word
2743,convexity,13,word
2744,regular,13,word
2745,lineage,13,word
2746,discounted,13,word
2747,guideline,13,word
2748,abroad,13,word
2749,inflow,13,word
2750,hedonic,13,word
