PT,Author,BA,BE,GP,AF,BF,CA,Title,Journal,SE,BS,LA,Document_Type,CT,CY,CL,SP,HO,DE,ID,Abstract,C1,C3,RP,EM,RI,OI,FU,FP,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,Year,VL,IS,PN,SU,SI,MA,BP,EP,AR,DOI,DL,D2,EA,PG,WC,WE,SC,GA,PM,OA,HC,HP,DA,UT
J,"Mogstad, M; Romano, JP; Shaikh, AM; Wilhelm, D",,,,"Mogstad, Magne; Romano, Joseph P.; Shaikh, Azeem M.; Wilhelm, Daniel",,,"A COMMENT ON: ""Invidious Comparisons: Ranking and Selection as Compound Decisions"" by Jiaying Gu and Roger Koenker",ECONOMETRICA,,,English,Article,,,,,,,FALSE DISCOVERY RATE; IMPACTS; NEIGHBORHOODS; BOOTSTRAP,,"[Mogstad, Magne] Univ Chicago, Dept Econ, Chicago, IL 60637 USA; [Mogstad, Magne] NBER, Cambridge, MA 02138 USA; [Romano, Joseph P.] Stanford Univ, Dept Stat & Econ, Stanford, CA 94305 USA; [Shaikh, Azeem M.] Stanford Univ, Dept Stat & Econ, Stanford, CA 94305 USA; [Wilhelm, Daniel] UCL, Dept Econ, London, England",University of Chicago; National Bureau of Economic Research; Stanford University; Stanford University; University of London; University College London,"Mogstad, M (corresponding author), Univ Chicago, Dept Econ, Chicago, IL 60637 USA.; Mogstad, M (corresponding author), NBER, Cambridge, MA 02138 USA.",magne.mogstad@gmail.com; romano@stanford.edu; amshaikh@uchicago.edu; d.wilhelm@ucl.ac.uk,,"Romano, Joseph/0000-0002-9685-8372; Wilhelm, Daniel/0000-0002-5158-4953","National Science Foundation [MMS-1949845, SES-1530661]; European Research Council [852332]; European Research Council (ERC) [852332] Funding Source: European Research Council (ERC)",National Science Foundation(National Science Foundation (NSF)); European Research Council(European Research Council (ERC)); European Research Council (ERC)(European Research Council (ERC)),"The second author acknowledges support from the National Science Foundation (MMS-1949845). The third author acknowledges support from the National Science Foundation (SES-1530661). The fourth author acknowledges support from the European Research Council (Starting Grant No. 852332). We thank Jiaying Gu and Roger Koenker for applying their procedures to the data set in Section 5. We also thank Yuehao Bai, Max Tabord-Meehan, and Andres Santos for helpful comments.","Basu Pallavi., 2021, EMPIRICAL BAYES CONT; Capps Kriston, 2020, NBER Working Paper 26164; Chetty R, 2018, Q J ECON, V133, P1107, DOI 10.1093/qje/qjy007; Chetty R, 2018, Q J ECON, V133, P1163, DOI 10.1093/qje/qjy006; Chetty R, 2014, Q J ECON, V129, P1553, DOI 10.1093/qje/qju022; Chetty R, 2014, AM ECON REV, V104, P2593, DOI 10.1257/aer.104.9.2593; Chetty R, 2014, AM ECON REV, V104, P2633, DOI 10.1257/aer.104.9.2633; Chetty RajFriedman., 2018, OPPORTUNITY ATLAS MA, DOI [DOI 10.3386/W25147, 10.3386/w25147]; Genovese C, 2002, J ROY STAT SOC B, V64, P499, DOI 10.1111/1467-9868.00347; Gu Jiaying., 2021, INVIDIOUS COMP RANKI; Guo WG, 2014, ANN STAT, V42, P1070, DOI 10.1214/14-AOS1214; Hall P, 2009, ANN STAT, V37, P3929, DOI 10.1214/09-AOS699; Hanushek EA, 2011, ECON EDUC REV, V30, P466, DOI 10.1016/j.econedurev.2010.12.006; Lehmann EL, 2005, ANN STAT, V33, P1138, DOI 10.1214/009053605000000084; Mogstad Magne, 2020, 1020 CTR MICR METH P; Romano JP, 2008, ECONOMET THEOR, V24, P404, DOI 10.1017/S0266466608080171; Romano JP, 2007, ANN STAT, V35, P1378, DOI 10.1214/009053606000001622; Romano JP, 2006, ANN STAT, V34, P1850, DOI 10.1214/009053606000000461; Romano JP, 2008, TEST-SPAIN, V17, P417, DOI 10.1007/s11749-008-0126-6; Romano JosephP., 2006, Optimality, P33; Shaikh A., 2021, NBER Working Paper No. 29519",21,0,0,0,6,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0012-9682,1468-0262,,ECONOMETRICA,Econometrica,JAN,2023,91,1,,,,,53,60,,10.3982/ECTA20460,http://dx.doi.org/10.3982/ECTA20460,,,8,"Economics; Mathematics, Interdisciplinary Applications; Social Sciences, Mathematical Methods; Statistics & Probability",Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),Business & Economics; Mathematics; Mathematical Methods In Social Sciences,D3EP9,,,,,2026-07-15,WOS:000967592600004
J,"Ewerhart, C; Reny, PJ",,,,"Ewerhart, Christian; Reny, Philip J.",,,"CORRIGENDUM TO ""ON THE EXISTENCE OF PURE AND MIXEDSTRATEGY NASH EQUILIBRIUM IN DISCONTINUOUS GAMES""",ECONOMETRICA,,,English,Correction,,,,,,,,,"[Ewerhart, Christian] Univ Zurich, Dept Econ, Zurich, Switzerland; [Reny, Philip J.] Univ Chicago, Dept Econ, Chicago, IL USA",University of Zurich; University of Chicago,"Ewerhart, C (corresponding author), Univ Zurich, Dept Econ, Zurich, Switzerland.",christian.ewerhart@econ.uzh.ch; preny@uchicago.edu,,"Ewerhart, Christian/0000-0003-3285-1099",,,,"Ewerhart Christian., 2022, DIAGONAL PAYOF UNPUB; Plan Asaf., 2022, J ECON THEORY; Reny PhilipJ., 1996, LOCAL PAYOFF S UNPUB; Reny PJ, 1999, ECONOMETRICA, V67, P1029, DOI 10.1111/1468-0262.00069",4,0,0,0,9,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0012-9682,1468-0262,,ECONOMETRICA,Econometrica,NOV,2022,90,6,,,,,O1,O2,,10.3982/ECTA20900,http://dx.doi.org/10.3982/ECTA20900,,,2,"Economics; Mathematics, Interdisciplinary Applications; Social Sciences, Mathematical Methods; Statistics & Probability",Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),Business & Economics; Mathematics; Mathematical Methods In Social Sciences,6L5OB,,Green Submitted,,,2026-07-15,WOS:000888233800001
J,[Anonymous],,,,[Anonymous],,,JPE Turnaround Times,JOURNAL OF POLITICAL ECONOMY,,,English,Article,,,,,,,,,,,,,,,,,,,0,0,0,0,7,UNIV CHICAGO PRESS,CHICAGO,"1427 E 60TH ST, CHICAGO, IL 60637-2954 USA",0022-3808,1537-534X,,J POLIT ECON,J. Polit. Econ.,NOV 1,2022,130,11,,,,,3024,3024,,10.1086/722926,http://dx.doi.org/10.1086/722926,,,1,Economics,Social Science Citation Index (SSCI),Business & Economics,6I2PT,,,,,2026-07-15,WOS:000885973100009
J,[Anonymous],,,,[Anonymous],,,Recent Referees,JOURNAL OF POLITICAL ECONOMY,,,English,Article,,,,,,,,,,,,,,,,,,,0,0,0,0,5,UNIV CHICAGO PRESS,CHICAGO,"1427 E 60TH ST, CHICAGO, IL 60637-2954 USA",0022-3808,1537-534X,,J POLIT ECON,J. Polit. Econ.,NOV 1,2022,130,11,,,,,,,,10.1086/723188,http://dx.doi.org/10.1086/723188,,,1,Economics,Social Science Citation Index (SSCI),Business & Economics,6I2PT,,,,,2026-07-15,WOS:000885973100002
J,"Kaur, S; Kremer, M; Mullainathan, S",,,,"Kaur, Supreet; Kremer, Michael; Mullainathan, Sendhil",,,"Self-Control at Work (vol 123, pg 1274, 2015)",JOURNAL OF POLITICAL ECONOMY,,,English,Correction,,,,,,,,,"[Kaur, Supreet] Univ Calif Berkeley, Berkeley, CA 94720 USA; [Kremer, Michael; Mullainathan, Sendhil] Univ Chicago, Chicago, IL 60637 USA",University of California System; University of California Berkeley; University of Chicago,"Kaur, S (corresponding author), Univ Calif Berkeley, Berkeley, CA 94720 USA.",,"Mullainathan, Sendhil/OHR-8549-2025","Mullainathan, Sendhil/0000-0001-8508-4052",,,,"ALCHIAN AA, 1972, AM ECON REV, V62, P777; CHEUNG SNS, 1983, J LAW ECON, V26, P1, DOI 10.1086/467023; Jensen Michael C., 1998, COORDINATION CONTROL; Kaur S, 2015, J POLIT ECON, V123, P1227, DOI 10.1086/683822",4,0,0,0,8,UNIV CHICAGO PRESS,CHICAGO,"1427 E 60TH ST, CHICAGO, IL 60637-2954 USA",0022-3808,1537-534X,,J POLIT ECON,J. Polit. Econ.,AUG,2022,130,8,,,,,2223,2224,,10.1086/721271,http://dx.doi.org/10.1086/721271,,,2,Economics,Social Science Citation Index (SSCI),Business & Economics,4D8GC,,,,,2026-07-15,WOS:000847376100009
J,"Beach, B; Brown, R; Ferrie, J; Saavedra, M; Thomas, D",,,,"Beach, Brian; Brown, Ryan; Ferrie, Joseph; Saavedra, Martin; Thomas, Duncan",,,Reevaluating the Long-Term Impact of In Utero Exposure to the 1918 Influenza Pandemic,JOURNAL OF POLITICAL ECONOMY,,,English,Article,,,,,,,,,"[Beach, Brian] Vanderbilt Univ, Nashville, TN 37235 USA; [Beach, Brian; Ferrie, Joseph; Thomas, Duncan] Natl Bur Econ Res, Cambridge, MA 02138 USA; [Brown, Ryan] Univ Colorado Denver, Denver, CO USA; [Ferrie, Joseph] Northwestern Univ, Evanston, IL USA; [Saavedra, Martin] Oberlin Coll, Oberlin, OH USA; [Thomas, Duncan] Duke Univ, Natl Bur Econ Res, Durham, NC USA",Vanderbilt University; National Bureau of Economic Research; University of Colorado System; University of Colorado Anschutz; University of Colorado Denver; Children's Hospital Colorado; Northwestern University; University System of Ohio; Oberlin College; National Bureau of Economic Research; Duke University,"Beach, B (corresponding author), Vanderbilt Univ, Nashville, TN 37235 USA.; Beach, B (corresponding author), Natl Bur Econ Res, Cambridge, MA 02138 USA.",,"Ferrie, Joseph/N-9544-2014; Saavedra, Martin/LFU-0554-2024; Beach, Brian/AAB-8359-2022","Ferrie, Joseph/0000-0002-7261-3610; Saavedra, Martin/0009-0004-4323-2378; Brown, Ryan/0000-0001-6202-2668",National Institute for Child Health and Human Development [R01HD052762]; National Institute on Aging [R01AG031266],National Institute for Child Health and Human Development(United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH Eunice Kennedy Shriver National Institute of Child Health & Human Development (NICHD)); National Institute on Aging(United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute on Aging (NIA)),Thomas acknowledges funding from the National Institute for Child Health and Human Development (R01HD052762)and the National Institute on Aging (R01AG031266).,"A'Hearn B, 2009, J ECON HIST, V69, P783, DOI 10.1017/S0022050709001120; Abramitzky R, 2021, J ECON LIT, V59, P865, DOI 10.1257/jel.20201599; Almond D, 2006, J POLIT ECON, V114, P672, DOI 10.1086/507154; Ayers, 1919, WAR GERMANY STAT SUM; Bailey, 2020, J ECON LIT, V58; BARKER DJP, 1990, BMJ-BRIT MED J, V301, P1111, DOI 10.1136/bmj.301.6761.1111; Beach B, 2016, J ECON HIST, V76, P41, DOI 10.1017/S0022050716000413; Beach Brian, J EC LIT, V60, P4184; Beach Brian, 24725 NBER; Boberg-Fazlica N, 2021, ECON HUM BIOL, V43, DOI 10.1016/j.ehb.2021.101020; Brown, 569 BREAD; Brown R, 2020, DEMOGRAPHY, V57, P1459, DOI 10.1007/s13524-020-00876-6; Bureau of the Census, 1920, MORT STAT 1918 19 AN; Bureau of the Census, 1919, MORT STAT 1917 18 AN; Bureau of the Census, 1921, MORT STAT 1919 20 AN; Chandra S, 2018, AM J EPIDEMIOL, V187, P2585, DOI 10.1093/aje/kwy153; Clay K, 2018, J ECON HIST, V78, P1179, DOI 10.1017/S002205071800058X; COALE AJ, 1955, J AM STAT ASSOC, V50, P16, DOI 10.2307/2281097; Goeken Ronald, 2017, 20171 MINN POP CTR; Heckman JJ, 2006, SCIENCE, V312, P1900, DOI 10.1126/science.1128898; HOCHBERG Y, 1988, BIOMETRIKA, V75, P800, DOI 10.1093/biomet/75.4.800; Isen Adam, 2017, JPE, V125; Kitchens Carl T., 2020, 27530 NBER; Long J, 2013, AM ECON REV, V103, P1109, DOI 10.1257/aer.103.4.1109; Mamelund SE, 2004, POPULATION-PARIS, V59, P269, DOI 10.2307/3654955; Mansour H, 2012, J DEV ECON, V99, P190, DOI 10.1016/j.jdeveco.2011.12.005; MYERS RJ, 1954, J AM STAT ASSOC, V49, P826, DOI 10.2307/2281542; Nudd, 2004, YESTERDAYS, V24, P3441; Parman J, 2015, EXPLOR ECON HIST, V58, P22, DOI 10.1016/j.eeh.2015.07.002; Roseboom T, 2006, EARLY HUM DEV, V82, P485, DOI 10.1016/j.earlhumdev.2006.07.001; Rotwein, 1945, JPE, V53, P23457; Ruggles Steven, 2021, IPUMS ANCESTRY FULL; Sanders Nicholas J., 2012, J HUM RESOUR, V47, P82650; Thomas Duncan, 2010, PEOPLE POLITICS GLOB, P35583; US PHS (Public Health Service), 1947, VITAL STAT RATES US; Vandenbroucke G, 2014, AM ECON J-MACROECON, V6, P108, DOI 10.1257/mac.6.2.108; Vollmer Sebastian, 2017, 242 COR RES CTR",37,33,37,0,23,UNIV CHICAGO PRESS,CHICAGO,"1427 E 60TH ST, CHICAGO, IL 60637-2954 USA",0022-3808,1537-534X,,J POLIT ECON,J. Polit. Econ.,JUL,2022,130,7,,,,,1963,1990,,10.1086/719757,http://dx.doi.org/10.1086/719757,,JUL 2022,28,Economics,Social Science Citation Index (SSCI),Business & Economics,3T4SR,37846350,Green Submitted,,,2026-07-15,WOS:000803823200001
J,"Chaney, T",,,,"Chaney, Thomas",,,The Gravity Equation in International Trade: A Response,JOURNAL OF POLITICAL ECONOMY,,,English,Article; Early Access,,,,,,,,,"[Chaney, Thomas] Sci Po, Paris, France",Institut d'Etudes Politiques Paris (Sciences Po),"Chaney, T (corresponding author), Sci Po, Paris, France.",,"Chaney, Thomas/MHQ-9857-2025",,,,,"Axtell RL, 2001, SCIENCE, V293, P1818, DOI 10.1126/science.1062081; Chaney T, 2018, J POLIT ECON, V126, P150, DOI 10.1086/694292; Dewitte Ruben, 2022, J POLIT ECON, V130, pXXXXXX",3,0,2,1,27,UNIV CHICAGO PRESS,CHICAGO,"1427 E 60TH ST, CHICAGO, IL 60637-2954 USA",0022-3808,1537-534X,,J POLIT ECON,J. Polit. Econ.,2022 MAY 1,2022,,,,,,,,,,10.1086/718914,http://dx.doi.org/10.1086/718914,,MAY 2022,7,Economics,Social Science Citation Index (SSCI),Business & Economics,0X3KH,,,,,2026-07-15,WOS:000789609100001
J,"Dewitte, R",,,,"Dewitte, Ruben",,,The Gravity Equation in International Trade: A Note,JOURNAL OF POLITICAL ECONOMY,,,English,Article,,,,,,,WELFARE,,"[Dewitte, Ruben] Univ Ghent, Ghent, Belgium",Ghent University,"Dewitte, R (corresponding author), Univ Ghent, Ghent, Belgium.",,"Dewitte, Ruben/KCK-8841-2024",,,,,"Bas M, 2017, J INT ECON, V108, P1, DOI 10.1016/j.jinteco.2017.05.001; Chaney T, 2018, J POLIT ECON, V126, P150, DOI 10.1086/694292; Chaney Thomas, 2022, JPE, V130, pXXX; Freund C, 2015, REV ECON STAT, V97, P1023, DOI 10.1162/REST_a_00511; Gabaix X, 1999, Q J ECON, V114, P739, DOI 10.1162/003355399556133; Head K, 2014, AM ECON REV, V104, P310, DOI 10.1257/aer.104.5.310; Melitz MJ, 2015, AM ECON REV, V105, P1105, DOI 10.1257/aer.20130351; Steindl J., 1965, RANDOM PROCESSES GRO; Yotov YV, 2012, ECON LETT, V117, P794, DOI 10.1016/j.econlet.2012.08.032",9,4,5,3,32,UNIV CHICAGO PRESS,CHICAGO,"1427 E 60TH ST, CHICAGO, IL 60637-2954 USA",0022-3808,1537-534X,,J POLIT ECON,J. Polit. Econ.,MAY 1,2022,130,5,,,,,1412,1418,,10.1086/718917,http://dx.doi.org/10.1086/718917,,MAY 2022,7,Economics,Social Science Citation Index (SSCI),Business & Economics,2D4LT,,Green Submitted,,,2026-07-15,WOS:000789609100003
J,"Asriyan, V; Laeven, L; Martín, A",,,,"Asriyan, Vladimir; Laeven, Luc; Martin, Alberto",,,"Collateral Booms and Information Depletion (vol 89, pg 1, 2021)",REVIEW OF ECONOMIC STUDIES,,,English,Correction,,,,,,,,,,,,,"Asriyan, Vladimir/AAA-5485-2019","Asriyan, Vladimir/0000-0001-8110-4933",,,,"Asriyan V, 2022, REV ECON STUD, V89, P517, DOI 10.1093/restud/rdab046",1,1,1,0,12,OXFORD UNIV PRESS,OXFORD,"GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND",0034-6527,1467-937X,,REV ECON STUD,Rev. Econ. Stud.,MAR 6,2022,89,2,,,,,1039,1039,,10.1093/restud/rdab083,http://dx.doi.org/10.1093/restud/rdab083,,,1,Economics,Social Science Citation Index (SSCI),Business & Economics,ZO1GP,,Bronze,,,2026-07-15,WOS:000765475800017
J,"Fanelli, S; Straub, L",,,,"Fanelli, S.; Straub, Ludwig",,,"A Theory of Foreign Exchange Interventions (vol 88, pg 2857, 2021)",REVIEW OF ECONOMIC STUDIES,,,English,Correction,,,,,,,,,,,,,,,,,,"Fanelli S, 2021, REV ECON STUD, V88, P2857, DOI 10.1093/restud/rdab013",1,0,0,1,9,OXFORD UNIV PRESS,OXFORD,"GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND",0034-6527,1467-937X,,REV ECON STUD,Rev. Econ. Stud.,MAR 6,2022,89,2,,,,,1038,1038,,10.1093/restud/rdab076,http://dx.doi.org/10.1093/restud/rdab076,,DEC 2021,1,Economics,Social Science Citation Index (SSCI),Business & Economics,ZO1GP,,Bronze,,,2026-07-15,WOS:000764627300001
J,"Gourinchas, PO; Werning, I",,,,"Gourinchas, Pierre-Olivier; Werning, Ivan",,,In Memoriam Emmanuel Farhi,REVIEW OF ECONOMIC STUDIES,,,English,Biographical-Item,,,,,,,,,"[Gourinchas, Pierre-Olivier] Univ Calif Berkeley, Berkeley, CA 94720 USA; [Werning, Ivan] MIT, Cambridge, MA 02139 USA",University of California System; University of California Berkeley; Massachusetts Institute of Technology (MIT),"Gourinchas, PO (corresponding author), Univ Calif Berkeley, Berkeley, CA 94720 USA.",,,,,,,"FARHI E, PUBLICATION LIST",1,0,0,0,4,OXFORD UNIV PRESS,OXFORD,"GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND",0034-6527,1467-937X,,REV ECON STUD,Rev. Econ. Stud.,NOV,2021,88,6,,,,,2567,2569,,10.1093/restud/rdab068,http://dx.doi.org/10.1093/restud/rdab068,,NOV 2021,3,Economics,Social Science Citation Index (SSCI),Business & Economics,XL9EA,,,,,2026-07-15,WOS:000728441400001
J,"Chari, A; Liu, EM; Wang, SY; Wang, YX",,,,"Chari, Amalavoyal; Liu, Elaine M.; Wang, Shing-Yi; Wang, Yongxiang",,,"Property Rights, Land Misallocation, and Agricultural Efficiency in China (vol 88, pg 1831, 2021)",REVIEW OF ECONOMIC STUDIES,,,English,Correction,,,,,,,,,,,,,"Wang, Yongxiang/HGB-4562-2022; Wang, Shingyi/PNG-8740-2026","Wang, Yongxiang/0009-0005-3172-9077; ",,,,"Chari A, 2021, REV ECON STUD, V88, P1831, DOI 10.1093/restud/rdaa072",1,1,2,10,101,OXFORD UNIV PRESS,OXFORD,"GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND",0034-6527,1467-937X,,REV ECON STUD,Rev. Econ. Stud.,JAN,2022,89,1,,,,,515,515,,10.1093/restud/rdab067,http://dx.doi.org/10.1093/restud/rdab067,,OCT 2021,1,Economics,Social Science Citation Index (SSCI),Business & Economics,YL7JR,,Bronze,,,2026-07-15,WOS:000746064900016
J,"Donovan, K",,,,"Donovan, Kevin",,,"The Equilibrium Impact of Agricultural Risk on Intermediate Inputs and Aggregate Productivity (vol 88, pg 2275, 2020)",REVIEW OF ECONOMIC STUDIES,,,English,Correction,,,,,,,,,,,,,,,,,,"Donovan K, 2021, REV ECON STUD, V88, P2275, DOI 10.1093/restud/rdaa084",1,0,0,0,32,OXFORD UNIV PRESS,OXFORD,"GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND",0034-6527,1467-937X,,REV ECON STUD,Rev. Econ. Stud.,OCT,2021,88,5,,,,,2565,2565,,10.1093/restud/rdab023,http://dx.doi.org/10.1093/restud/rdab023,,JUL 2021,1,Economics,Social Science Citation Index (SSCI),Business & Economics,WL7NA,,Bronze,,,2026-07-15,WOS:000710586800017
J,"Eeckhout, J; Kircher, P; Lafuente, C; Macci, G",,,,"Eeckhout, Jan; Kircher, Philipp; Lafuente, Cristina; Macci, Gabriele",,,"ASSORTATIVE MATCHING WITH LARGE FIRMS (vol 86, pg 85, 2018)",ECONOMETRICA,,,English,Correction,,,,,,,,,"[Eeckhout, Jan] UPF ICREA GSE, Dept Econ, Barcelona, Spain; [Kircher, Philipp; Lafuente, Cristina; Macci, Gabriele] European Univ Inst, Dept Econ, Fiesole, Italy; [Kircher, Philipp] Univ Edinburgh, Sch Econ, Edinburgh, Midlothian, Scotland",ICREA; European University Institute; University of Edinburgh,"Eeckhout, J (corresponding author), UPF ICREA GSE, Dept Econ, Barcelona, Spain.",jan.eeckhout@upf.edu; philipp.kircher@gmail.com; Cristina.Lafuente@eui.eu; gabriele.macci@eui.eu,"/A-3981-2008; Lafuente, Cristina/HKF-3652-2023","Lafuente, Cristina/0000-0001-6808-2696; Macci, Gabriele/0009-0007-7992-1118",,,,"Adamopoulos T, 2014, AM ECON REV, V104, P1667, DOI 10.1257/aer.104.6.1667; Eeckhout J, 2018, ECONOMETRICA, V86, P85, DOI 10.3982/ECTA14450",2,0,0,0,6,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0012-9682,1468-0262,,ECONOMETRICA,Econometrica,JUL,2021,89,4,,,,,O11,O14,,10.3982/ECTA18054,http://dx.doi.org/10.3982/ECTA18054,,,4,"Economics; Mathematics, Interdisciplinary Applications; Social Sciences, Mathematical Methods; Statistics & Probability",Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),Business & Economics; Mathematics; Mathematical Methods In Social Sciences,TR4TW,,,,,2026-07-15,WOS:000678959600004
J,"Bonatti, A; Cisternas, G",,,,"Bonatti, Alessandro; Cisternas, Gonzalo",,,"Consumer Scores and Price Discrimination (vol 87, pg 750, 2020)",REVIEW OF ECONOMIC STUDIES,,,English,Correction,,,,,,,,,,,,,,,,,,"Bonatti A, 2020, REV ECON STUD, V87, P750, DOI 10.1093/restud/rdz046",1,0,0,0,12,OXFORD UNIV PRESS,OXFORD,"GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND",0034-6527,1467-937X,,REV ECON STUD,Rev. Econ. Stud.,OCT,2021,88,5,,,,,2564,2564,,10.1093/restud/rdab024,http://dx.doi.org/10.1093/restud/rdab024,,JUN 2021,1,Economics,Social Science Citation Index (SSCI),Business & Economics,WL7NA,,,,,2026-07-15,WOS:000710586800016
J,"Azar, J; Vives, X",,,,"Azar, Jose; Vives, Xavier",,,"REPLY TO: Comments on ""General Equilibrium Oligopoly and Ownership Structure""",ECONOMETRICA,,,English,Article,,,,,,,COMMON OWNERSHIP,,"[Azar, Jose] Univ Navarra, Sch Econ & Business, Navarra, Spain; [Azar, Jose; Vives, Xavier] IESE Business Sch, Dept Econ, Barcelona, Spain",University of Navarra; University of Navarra; IESE Business School,"Azar, J (corresponding author), Univ Navarra, Sch Econ & Business, Navarra, Spain.; Azar, J (corresponding author), IESE Business Sch, Dept Econ, Barcelona, Spain.",jazar@iese.edu; xvives@iese.edu,"Vives, Xavier/B-1597-2013; Azar, Jose/MSY-3908-2025","Vives, Xavier/0000-0001-9110-9850; Azar, Jose/0000-0002-1639-2067",,,,"Azar J., 2018, CEPR Discussion Paper 13000; Azar J, 2020, U CHICAGO LAW REV, V87, P263; Azar J, 2019, AEA PAP P, V109, P322, DOI 10.1257/pandp.20191066; Berger D.W., 2019, NBER Working Paper; De Loecker J, 2020, Q J ECON, V135, P561, DOI 10.1093/qje/qjz041; DIXIT AK, 1977, AM ECON REV, V67, P297; Vives X, 2000, CORPORATE GOVERNANCE, P1; Vives X, 2008, J IND ECON, V56, P419, DOI 10.1111/j.1467-6451.2008.00356.x",8,1,2,0,29,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0012-9682,1468-0262,,ECONOMETRICA,Econometrica,MAY,2021,89,3,,,,,1061,1063,,10.3982/ECTA18868,http://dx.doi.org/10.3982/ECTA18868,,,3,"Economics; Mathematics, Interdisciplinary Applications; Social Sciences, Mathematical Methods; Statistics & Probability",Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),Business & Economics; Mathematics; Mathematical Methods In Social Sciences,SB2VA,,,,,2026-07-15,WOS:000649857500004
J,"Eeckhout, J",,,,"Eeckhout, Jan",,,"A COMMENT ON: ""General Equilibrium Oligopoly and Ownership Structure"" by Jose Azar and Xavier Vives",ECONOMETRICA,,,English,Article,,,,,,,MARKET; TRADE; RISE,,"[Eeckhout, Jan] UPF Barcelona, Barcelona, Spain; [Eeckhout, Jan] CREi, GSE, ICREA, Barcelona, Spain",Pompeu Fabra University; Centre de Recerca en Economia Internacional (CREI); Barcelona School of Economics; ICREA,"Eeckhout, J (corresponding author), UPF Barcelona, Barcelona, Spain.; Eeckhout, J (corresponding author), CREi, GSE, ICREA, Barcelona, Spain.",jan.eeckhout@upf.edu,/A-3981-2008,,,,,"Atkeson A, 2008, AM ECON REV, V98, P1998, DOI 10.1257/aer.98.5.1998; Autor D, 2020, Q J ECON, V135, P645, DOI 10.1093/qje/qjaa004; Azar J., 2011, PRINCETON REPORT; Azar J, 2018, J FINANC, V73, P1513, DOI 10.1111/jofi.12698; Bresnahan TimothyF., 1986, INT J IND ORGAN, V4, P155, DOI DOI 10.1016/0167-7187(86)90028-7; De Loecker J, 2020, Q J ECON, V135, P561, DOI 10.1093/qje/qjz041; Edgeworth F.Y., 1881, MATH PSYCHICS ESSAY, V10; Eeckhout J., 2020, NBER Macroeconomics Annual 2020, V35; Melitz MJ, 2008, REV ECON STUD, V75, P295, DOI 10.1111/j.1467-937X.2007.00463.x; Mongey S., 2019, CHICAGO REPORT; Mongey S., 2018, REPORT; Rotemberg J., 1984, Discussion paper; RUBINSTEIN A., 1983, Discussion paper; Warren L., 2020, DISCUSSION PAPER UPF",14,0,0,0,15,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0012-9682,1468-0262,,ECONOMETRICA,Econometrica,MAY,2021,89,3,,,,,1049,1053,,10.3982/ECTA18810,http://dx.doi.org/10.3982/ECTA18810,,,5,"Economics; Mathematics, Interdisciplinary Applications; Social Sciences, Mathematical Methods; Statistics & Probability",Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),Business & Economics; Mathematics; Mathematical Methods In Social Sciences,SB2VA,,,,,2026-07-15,WOS:000649857500002
